,Epoch Number,Mini-Batch number,Loss,Time elapsed (minutes)
0,1,2000,1.983,2.04
1,1,4000,0.673,4.06
2,1,6000,0.482,6.11
3,2,2000,0.359,9.63
4,2,4000,0.331,11.65
5,2,6000,0.326,13.76
6,3,2000,0.275,17.54
7,3,4000,0.256,19.37
8,3,6000,0.263,21.01
9,4,2000,0.233,23.88
10,4,4000,0.226,25.62
11,4,6000,0.216,27.33
12,5,2000,0.197,30.18
13,5,4000,0.205,31.85
14,5,6000,0.206,33.49
15,6,2000,0.17,36.38
16,6,4000,0.19,38.01
17,6,6000,0.187,39.65
18,7,2000,0.16,42.59
19,7,4000,0.178,44.25
20,7,6000,0.166,45.88
21,8,2000,0.168,48.73
22,8,4000,0.157,50.35
23,8,6000,0.163,51.97
24,9,2000,0.133,54.79
25,9,4000,0.138,56.41
26,9,6000,0.148,58.04
